,en
DOG,dog
WOLF,wolf
PLAIN_WOLF,plain wolf
DESERT_WOLF,desert wolf
HYENA,hyena
CAT,cat
LION,lion
MOUNTAIN_LION,mountain lion
ALLIGATOR,alligator
CORROSIVE_SLIME,corrosive slime
CRYO_SLIME,cryo slime
PYRO_SLIME,pyro slime
TOXIC_SLIME,toxic slime
GOBLIN_KNIFE,"goblin (knife)"
GOBLIN_MACE,"goblin (mace)"
GOBLIN_SPEAR,"goblin (spear)"
GOBLIN_SLINGER,goblin slinger
GOBLIN_SHAMAN,goblin shaman
GNOLL_BLADE,"gnoll (blade)"
GNOLL_SPEAR,"gnoll (spear)"
GNOLL_SLINGER,gnoll slinger
GNOLL_SHAMAN,gnoll shaman
TROLL,troll
VAMPIRIC_BAT,vampiric bat
CRIMSON_IMP,crimson imp
WHITE_IMP,white imp

