,en
DRIFTER_WIZARD_INIT,"You had hoped that your life will change from now on. In fact it did, but not only in good ways."
DRIFTER_WIZARD_NO_REASON_TO_STAY,"One day you decided that you suffered enough from the humiliation of your master. By now you mastered simple spells and your master is not willing to teach you any new spells anyway. So there is no reason to stay."
DRIFTER_WIZARD_SPELL_BOOK_THEFT,"However, before you leave this place forever you should at least take a keepsake. You know that the old wizard hides some powerful spells books hidden in his laboratory. Maybe he won't even notice the disappearance of one of those books."
DRIFTER_WIZARD_BASEMENT,"So you head down to the basement of the manor. You know the old wizard well enough to know that he placed a few traps down here. This place is also guarded by a few imps."
WIZARD_BASEMENT_LOCKED,"The door to the workroom is locked. You expect to the tomes to be in there."
WIZARD_BASEMENT_ENTER_LAB,"You enter what appears to be a laboratory."
WIZARD_BASEMENT_LAB,"You don't know what the purpose of this place is, but you have heard the rumours about experiments on {race}. Of course they are just rumours."
WIZARD_BASEMENT_LAB_IMP_APPROACHING,"A tiny red imp approaches you."
WIZARD_BASEMENT_LAB_IMP_KNOWN,"He is a servant of the old wizard. You don't like this guy. He would always yell at you, but maybe he is just not able to speak in a non-offensive tone at all."
WIZARD_BASEMENT_LAB_IMP_NOT_ALLOWED,"''MASTER DOES NOT ALLOW USELESS APPRENTICE TO ENTER THE LABORATORY''"
WIZARD_BASEMENT_LAB_IMP_WHAT_DOING,"''WHAT IS APPRENTICE DOING HERE?''"
WIZARD_BASEMENT_LAB_IMP_BACK_TO_WORK,"''BACK TO WORK LAZY SCUM''"
WIZARD_BASEMENT_LAB_IMP_LAB_ACCESS,"''NO NO, PLEASE DON'T TELL MASTER\nMASTER HURTS\nME GOOD IMP, ASK IF APPRENTICE NEEDS SOMETHING''"
WIZARD_BASEMENT_LAB_IMP_INTRUDER,"''INTRUDER\nMASTER WILL BE VERY ANGRY''"
WIZARD_BASEMENT_LAB_IMP_ATTACK,"You engage the imp in combat."
WIZARD_IMP_DEFEATED,"You managed to defeat the devilish creature."
WIZARD_IMP_KEY,"You find a key that the creature was carrying."
WIZARD_IMP_LOST_SIGHT,"The imp lost sight of you."
WIZARD_BASEMENT_LAB_DARK,"It's dark. The room is only dimly lit by strange crystal devices."
WIZARD_BASEMENT_LAB_CRYSTAL_DEVICES,"Irregular crystals cased in metallic contraption emit pale light. Metal pipes and cables stretch across the room."
WIZARD_BASEMENT_LAB_CRYSTAL_DEVICES_FAMILIAR,"The devices resemble magical devices used for enhancements but they differ in some essential details. You have no idea what the use of these devices could possibly be."
WIZARD_BASEMENT_LAB_INVESTIGATE_DEVICES,"Investigate the devices."
WIZARD_CAST_LIGHT,"Cast a light spell."
WIZARD_CAST_FIRE,"Conjure a flame."
WIZARD_LAB_LIGHT_BLOB,"You conjure a light blob to illuminate the room."
WIZARD_LAB_FLAME,"You conjure a flame hovering above your hand. The room became somewhat brighter."
WIZARD_LAB_FLAME_FAILED,"Conjuring a flame sounds easier than it actually is. You burned your hand in the process but finally there is a small flame hovering above your hand. The room became somewhat brighter."
WIZARD_LAB_CANDLE,"You snap with your fingers and the candle starts burning. The room became somewhat brighter."
WIZARD_BASEMENT_LAB_ILLUMINATED,"Now that this place is brighter you have a better view of the situation."
WIZARD_BASEMENT_LAB_CORPSES,"You see four beds and three corpses - at least you think that these people are dead. Some of the cables are attached to the corpses."
WIZARD_BASEMENT_LAB_APPROACH_CORPSES,"You approach the nearest bed. A naked women lies on the bed. Her body clearly shows signs of decay, yet her arms and legs are constrained by heavy chains."
WIZARD_BASEMENT_LAB_VOMIT,"You vomit all over the place."
WIZARD_BASEMENT_LAB_VOMIT_IMP,"You hear the imp behind you making angry noises."
WIZARD_BASEMENT_LAB_CORPSES_STATUS,"Metallic cables are attached to the arms and legs of the dead women. Faint light pulsates beneath her decaying skin in the same rhythm as the crystal connected to the cables. It's the same for the other two corpses."
WIZARD_BASEMENT_SEARCH_LAB,"Search the laboratory."
WIZARD_BASEMENT_LAB_SEARCHED,"You search the laboratory more carefully but the only useful thing you find is a {item}."
WIZARD_BASEMENT_LAB_SEARCHED_FAILED,"You search the laboratory more carefully but you find nothing."
WIZARD_BASEMENT_FORGE_DOOR,"The door to the room is heavy but opens slowly while you push it with your shoulder leaning against it. Once the door is opened you hear loud noise coming from inside the room."
WIZARD_BASEMENT_FORGE_OPERATION,"After stepping inside you see what causes the noise: various machines work hot glowing metal with large hammers. Everything moves on its own. You don't know how this is possible.\nThe room is lit up by the glowing metal and the furnace."
WIZARD_BASEMENT_ENTER_FORGE,"You enter the automated forge. The room is filled with the deafening noise of hammer blows."
WIZARD_BASEMENT_FORGE_EXAMINE_METAL,"Examine the metal."
WIZARD_BASEMENT_FORGE_METAL,"The metal is hot and glowing white. You can't tell what exact metal it is."
WIZARD_BASEMENT_FORGE_EXAMINE_HAMMER,"Examine the hammers."
WIZARD_BASEMENT_FORGE_HAMMER,"You approach the closest hammer. It is hovering in the air, moving on its own it thrusts down onto the piece of metal. On impact sparks fly from the metal.\nYou count five hammers in total."
WIZARD_BASEMENT_FORGE_EXAMINE_CONTRAPTION,"Examine the metallic contraption."
WIZARD_BASEMENT_FORGE_CONTRAPTION,"On a table standing in the other side of the room lie several metallic contraption. There is an empty socket in the centre. You don't know what purpose these devices have but they appear to be the end product of the forge."
WIZARD_BASEMENT_FORGE_CONTRAPTION_REMIND,"They look very similar to the devices in the laboratory."
WIZARD_BASEMENT_FORGE_CONTRAPTION_GAINED,"As they are not too large you decide to take one of the devices with you."
WIZARD_BASEMENT_SEARCH_FORGE,"Search the forge."
WIZARD_BASEMENT_FORGE_SEARCHED,"You find a {item} lying on the floor and a candle in one of the shelves. The other stuff in the room appears to be uninteresting except for some strange metallic contraption."
WIZARD_BASEMENT_FORGE_FAILED_SEARCHED,"You find nothing useful except a candle in one of the shelves. A strange metallic contraption catches your eye."
WIZARD_BASEMENT_SEARCH_FORGE_AGAIN,"Search the forge more carefully."
WIZARD_BASEMENT_FORGE_SEARCHED_AGAIN,"You search the forge once again. This time you focus on hidden panels and false bottoms. You notice a {item} that you missed earlier. Finally, you find the key you were looking for glued on the inside of one of the drawers."
WIZARD_BASEMENT_FORGE_SEARCHED_AGAIN_FAILED,"You search the forge once again. This time you focus on hidden panels and false bottoms. While you don't find any at first, you find the key you were looking for glued on the inside of one of the drawers."
WIZARD_BASEMENT_BURNED_HAND_CANDLE,"You wish you knew before burning your hand..."
WIZARD_BASEMENT_WHERE_KEY,"You have searched both rooms but you haven't found a key for the workroom yet. There must be a way to open the door."
WIZARD_BASEMENT_LOOK_FOR_KEY,"You know the old wizard well enough to know that he must keep a spare key somewhere. He often leaves things. Maybe you should check the shelves for a false bottom."
WIZARD_BASEMENT_OPEN_WORKROOM,"The key fits and the door opens."
WIZARD_BASEMENT_ENTER_WORKROOM,"You enter the workroom."
WIZARD_WORKROOM_MESS,"You see a large desk in the middle of the room. Several layers of paper sheets and scrolls cover most of the desk. Ink is spilled on a few of the papers. It's a mess."
